"word","a_to_h_letter_count","frequency_score"
"banal","3","2122"
"crank","2","2121"
"gorge","3","2120"
"query","1","2119"
"drink","1","2118"
"favor","2","2117"
"abbey","4","2116"
"tangy","2","2115"
"panic","2","2114"
"solar","1","2113"
"shire","2","2112"
"robot","1","2111"
"prick","1","2110"
"wince","2","2109"
"crimp","1","2108"
"sugar","2","2107"
"whack","3","2106"
"perky","1","2105"
"could","2","2104"
"wrung","1","2103"
"light","2","2102"
"those","2","2101"
"shard","3","2100"
"pleat","2","2099"
"aloft","2","2098"
"elder","3","2097"
"frame","3","2096"
"humor","1","2095"
"pause","2","2094"
"ulcer","2","2093"
"ultra","1","2092"
"robin","1","2091"
"cynic","2","2090"
"aroma","2","2089"
"caulk","2","2088"
"shake","3","2087"
"dodge","4","2086"
"tacit","2","2085"
"other","2","2084"
"thorn","1","2083"
"trove","1","2082"
"bloke","2","2081"
"vivid","1","2080"
"chant","3","2079"
"choke","3","2078"
"rupee","2","2077"
"nasty","1","2076"
"ahead","5","2075"
"brine","2","2074"
"cloth","2","2073"
"hoard","3","2072"
"sweet","2","2071"
"month","1","2070"
"lapse","2","2069"
"watch","3","2068"
"today","2","2067"
"focus","2","2066"
"smelt","1","2065"
"tease","3","2064"
"cater","3","2063"
"movie","1","2062"
"saute","2","2061"
"allow","1","2060"
"renew","2","2059"
"their","2","2058"
"slosh","1","2057"
"purge","2","2056"
"chest","3","2055"
"depot","2","2054"
"epoxy","1","2053"
"nymph","1","2052"
"found","2","2051"
"shall","2","2050"
"harry","2","2049"
"stove","1","2048"
"trope","1","2047"
"fewer","3","2046"
"shawl","2","2045"
"natal","2","2044"
"comma","2","2043"
"foray","2","2042"
"scare","3","2041"
"stair","1","2040"
"black","3","2039"
"squad","2","2038"
"royal","1","2037"
"chunk","2","2036"
"mince","2","2035"
"shame","3","2034"
"cheek","4","2033"
"ample","2","2032"
"flair","2","2031"
"foyer","2","2030"
"cargo","3","2029"
"oxide","2","2028"
"plant","1","2027"
"olive","1","2026"
"inert","1","2025"
"askew","2","2024"
"heist","2","2023"
"shown","1","2022"
"zesty","1","2021"
"hasty","2","2020"
"trash","2","2019"
"fella","3","2018"
"larva","2","2017"
"forgo","2","2016"
"hairy","2","2015"
"train","1","2014"
"homer","2","2013"
"badge","5","2012"
"midst","1","2011"
"canny","2","2010"
"fetus","2","2009"
"butch","3","2008"
"farce","4","2007"
"slung","1","2006"
"metal","2","2005"
"yield","2","2004"
"delve","3","2003"
"being","3","2002"
"scour","1","2001"
"glass","2","2000"
"gamer","3","1999"
"scrap","2","1998"
"money","1","1997"
"hinge","3","1996"
"album","2","1995"
"vouch","2","1994"
"asset","2","1993"
"tiara","2","1992"
"crept","2","1991"
"bayou","2","1990"
"atoll","1","1989"
"manor","1","1988"
"creak","3","1987"
"showy","1","1986"
"phase","3","1985"
"froth","2","1984"
"depth","3","1983"
"gloom","1","1982"
"flood","2","1981"
"trait","1","1980"
"girth","2","1979"
"piety","1","1978"
"payer","2","1977"
"goose","2","1976"
"float","2","1975"
"donor","1","1974"
"atone","2","1973"
"apron","1","1972"
"blown","1","1971"
"cacao","4","1970"
"loser","1","1969"
"gloat","2","1968"
"awful","2","1967"
"brink","1","1966"
"smite","1","1965"
"beady","4","1964"
"retro","1","1963"
"droll","1","1962"
"gawky","2","1961"
"hutch","3","1960"
"gaily","2","1959"
"egret","3","1958"
"lilac","2","1957"
"sever","2","1956"
"field","3","1955"
"fluff","3","1954"
"hydro","2","1953"
"flack","3","1952"
"agape","4","1951"
"voice","2","1950"
"stead","3","1949"
"stalk","1","1948"
"berth","3","1947"
"madam","3","1946"
"night","2","1945"
"bland","3","1944"
"liver","1","1943"
"wedge","4","1942"
"augur","2","1941"
"wacky","2","1940"
"flock","2","1939"
"angry","2","1938"
"bobby","3","1937"
"trite","1","1936"
"aphid","3","1935"
"midge","3","1934"
"power","1","1933"
"elope","2","1932"
"cinch","3","1931"
"upset","1","1930"
"bluff","3","1929"
"cramp","2","1928"
"quart","1","1927"
"coyly","1","1926"
"youth","1","1925"
"rhyme","2","1924"
"buggy","3","1923"
"alien","2","1922"
"smear","2","1921"
"unfit","1","1920"
"patty","1","1919"
"cling","2","1918"
"glean","3","1917"
"label","3","1916"
"hunky","1","1915"
"khaki","2","1914"
"poker","1","1913"
"gruel","2","1912"
"twice","2","1911"
"twang","2","1910"
"shrug","2","1909"
"treat","2","1908"
"waste","2","1907"
"merit","1","1906"
"woven","1","1905"
"octal","2","1904"
"needy","3","1903"
"clown","1","1902"
"widow","1","1901"
"ruder","2","1900"
"gauze","3","1899"
"chief","4","1898"
"onset","1","1897"
"prize","1","1896"
"fungi","2","1895"
"charm","3","1894"
"gully","1","1893"
"inter","1","1892"
"whoop","1","1891"
"taunt","1","1890"
"leery","2","1889"
"class","2","1888"
"theme","3","1887"
"lofty","1","1886"
"tibia","2","1885"
"booze","2","1884"
"alpha","3","1883"
"thyme","2","1882"
"eclat","3","1881"
"doubt","2","1880"
"parer","2","1879"
"chute","3","1878"
"stick","1","1877"
"trice","2","1876"
"alike","2","1875"
"sooth","1","1874"
"recap","3","1873"
"saint","1","1872"
"liege","3","1871"
"glory","1","1870"
"grate","3","1869"
"admit","2","1868"
"brisk","1","1867"
"soggy","2","1866"
"scald","3","1865"
"scorn","1","1864"
"leave","3","1863"
"twine","1","1862"
"sting","1","1861"
"bough","3","1860"
"marsh","2","1859"
"sloth","1","1858"
"dandy","3","1857"
"vigor","1","1856"
"howdy","2","1855"
"enjoy","1","1854"
"valid","2","1853"
"ionic","1","1852"
"equal","2","1851"
"unset","1","1850"
"floor","1","1849"
"catch","4","1848"
"spade","3","1847"
"stein","1","1846"
"exist","1","1845"
"denim","2","1844"
"grove","2","1843"
"spiel","1","1842"
"fault","2","1841"
"foggy","3","1840"
"flout","1","1839"
"carry","2","1838"
"sneak","2","1837"
"libel","2","1836"
"waltz","1","1835"
"aptly","1","1834"
"piney","1","1833"
"inept","1","1832"
"aloud","2","1831"
"photo","1","1830"
"dream","3","1829"
"stale","2","1828"
"ombre","2","1827"
"fanny","2","1826"
"unite","1","1825"
"snarl","1","1824"
"baker","3","1823"
"there","3","1822"
"glyph","2","1821"
"pooch","2","1820"
"hippy","1","1819"
"spell","1","1818"
"folly","1","1817"
"louse","1","1816"
"gulch","3","1815"
"vault","1","1814"
"godly","2","1813"
"threw","2","1812"
"fleet","3","1811"
"grave","3","1810"
"inane","2","1809"
"shock","2","1808"
"crave","3","1807"
"spite","1","1806"
"valve","2","1805"
"claim","2","1804"
"rainy","1","1803"
"pique","1","1802"
"daddy","4","1801"
"quasi","1","1800"
"arise","2","1799"
"aging","3","1798"
"valet","2","1797"
"avert","2","1796"
"stuck","1","1795"
"recut","2","1794"
"mulch","2","1793"
"genre","3","1792"
"plume","1","1791"
"rifle","2","1790"
"count","1","1789"
"incur","1","1788"
"total","1","1787"
"wrest","1","1786"
"mocha","3","1785"
"deter","3","1784"
"study","1","1783"
"lover","1","1782"
"safer","3","1781"
"rivet","1","1780"
"funny","1","1779"
"smoke","1","1778"
"mound","1","1777"
"undue","2","1776"
"sedan","3","1775"
"pagan","3","1774"
"swine","1","1773"
"guile","2","1772"
"gusty","1","1771"
"equip","1","1770"
"tough","2","1769"
"canoe","3","1768"
"chaos","3","1767"
"covet","2","1766"
"human","2","1765"
"udder","3","1764"
"lunch","2","1763"
"blast","2","1762"
"stray","1","1761"
"manga","3","1760"
"melee","3","1759"
"lefty","2","1758"
"quick","1","1757"
"paste","2","1756"
"given","2","1755"
"octet","2","1754"
"risen","1","1753"
"groan","2","1752"
"leaky","2","1751"
"grind","2","1750"
"carve","3","1749"
"loose","1","1748"
"sadly","2","1747"
"apple","2","1746"
"slack","2","1745"
"honey","2","1744"
"final","2","1743"
"sheen","3","1742"
"eerie","3","1741"
"slick","1","1740"
"derby","3","1739"
"wharf","3","1738"
"spelt","1","1737"
"coach","4","1736"
"erupt","1","1735"
"singe","2","1734"
"price","2","1733"
"spawn","1","1732"
"fairy","2","1731"
"jiffy","2","1730"
"filmy","1","1729"
"stack","2","1728"
"chose","3","1727"
"sleep","2","1726"
"ardor","2","1725"
"nanny","1","1724"
"niece","3","1723"
"handy","3","1722"
"grace","4","1721"
"ditto","1","1720"
"stank","1","1719"
"cream","3","1718"
"usual","1","1717"
"diode","3","1716"
"valor","1","1715"
"angle","3","1714"
"ninja","1","1713"
"muddy","2","1712"
"chase","4","1711"
"reply","1","1710"
"prone","1","1709"
"heart","3","1708"
"shade","4","1707"
"diner","2","1706"
"arson","1","1705"
"sleet","2","1704"
"dowel","2","1703"
"couch","3","1702"
"palsy","1","1701"
"bowel","2","1700"
"smile","1","1699"
"evoke","2","1698"
"creek","3","1697"
"lance","3","1696"
"eagle","4","1695"
"idiot","1","1694"
"siren","1","1693"
"built","1","1692"
"embed","4","1691"
"award","3","1690"
"dross","1","1689"
"annul","1","1688"
"goody","2","1687"
"frown","1","1686"
"patio","1","1685"
"laden","3","1684"
"humid","2","1683"
"elite","2","1682"
"lymph","1","1681"
"edify","3","1680"
"might","2","1679"
"reset","2","1678"
"gusto","1","1677"
"purse","1","1676"
"vapor","1","1675"
"crock","2","1674"
"write","1","1673"
"loath","2","1672"
"chaff","5","1671"
"slide","2","1670"
"queer","2","1669"
"venom","1","1668"
"stamp","1","1667"
"acorn","2","1666"
"aping","2","1665"
"pushy","1","1664"
"tamer","2","1663"
"hater","3","1662"
"mania","2","1661"
"awoke","2","1660"
"brawn","2","1659"
"swift","1","1658"
"exile","2","1657"
"birch","3","1656"
"lucky","1","1655"
"freer","3","1654"
"ghost","2","1653"
"plier","1","1652"
"lunar","1","1651"
"winch","2","1650"
"snare","2","1649"
"nurse","1","1648"
"house","2","1647"
"borax","2","1646"
"nicer","2","1645"
"lurch","2","1644"
"exalt","2","1643"
"about","2","1642"
"savvy","1","1641"
"tunic","1","1640"
"pried","2","1639"
"inlay","1","1638"
"chump","2","1637"
"lanky","1","1636"
"cress","2","1635"
"eater","3","1634"
"elude","3","1633"
"cycle","3","1632"
"boule","2","1631"
"tenet","2","1630"
"place","3","1629"
"lobby","2","1628"
"plush","1","1627"
"vigil","1","1626"
"index","2","1625"
"blink","1","1624"
"clung","2","1623"
"qualm","1","1622"
"croup","1","1621"
"clink","1","1620"
"juicy","1","1619"
"stage","3","1618"
"decay","4","1617"
"nerve","2","1616"
"flier","2","1615"
"shaft","3","1614"
"crook","1","1613"
"clean","3","1612"
"china","3","1611"
"ridge","3","1610"
"vowel","1","1609"
"gnome","2","1608"
"snuck","1","1607"
"icing","2","1606"
"rigor","1","1605"
"snail","1","1604"
"flown","1","1603"
"rabid","3","1602"
"prose","1","1601"
"thank","2","1600"
"budge","4","1599"
"fiber","3","1598"
"moldy","1","1597"
"dowdy","2","1596"
"kneel","2","1595"
"track","2","1594"
"caddy","4","1593"
"quell","1","1592"
"dumpy","1","1591"
"paler","2","1590"
"swore","1","1589"
"rebar","3","1588"
"scuba","3","1587"
"splat","1","1586"
"flyer","2","1585"
"horny","1","1584"
"mason","1","1583"
"doing","2","1582"
"ozone","1","1581"
"amply","1","1580"
"molar","1","1579"
"ovary","1","1578"
"beset","3","1577"
"queue","2","1576"
"cliff","3","1575"
"magic","3","1574"
"truce","2","1573"
"fritz","1","1572"
"edict","3","1571"
"verse","2","1570"
"llama","2","1569"
"eaten","3","1568"
"range","3","1567"
"whisk","1","1566"
"hovel","2","1565"
"rehab","4","1564"
"macaw","3","1563"
"sigma","2","1562"
"verve","2","1561"
"sushi","1","1560"
"dying","2","1559"
"fetid","3","1558"
"brain","2","1557"
"buddy","3","1556"
"thump","1","1555"
"scion","1","1554"
"candy","3","1553"
"chord","3","1552"
"basin","2","1551"
"march","3","1550"
"crowd","2","1549"
"arbor","2","1548"
"gayly","2","1547"
"stain","1","1546"
"dally","2","1545"
"bless","2","1544"
"bravo","2","1543"
"stung","1","1542"
"title","1","1541"
"ruler","1","1540"
"blond","2","1539"
"ennui","1","1538"
"layer","2","1537"
"fluid","2","1536"
"tatty","1","1535"
"score","2","1534"
"cutie","2","1533"
"zebra","3","1532"
"barge","4","1531"
"matey","2","1530"
"bluer","2","1529"
"aider","3","1528"
"shook","1","1527"
"river","1","1526"
"betel","3","1525"
"frisk","1","1524"
"bongo","2","1523"
"begun","3","1522"
"azure","2","1521"
"weave","3","1520"
"genie","3","1519"
"sound","1","1518"
"glove","2","1517"
"braid","3","1516"
"scope","2","1515"
"rover","1","1514"
"assay","2","1513"
"ocean","3","1512"
"bloom","1","1511"
"irate","2","1510"
"later","2","1509"
"woken","1","1508"
"wreck","2","1507"
"dwelt","2","1506"
"slate","2","1505"
"smack","2","1504"
"solid","1","1503"
"amaze","3","1502"
"hazel","3","1501"
"globe","3","1500"
"flint","1","1499"
"rouse","1","1498"
"civil","1","1497"
"vista","1","1496"
"relax","2","1495"
"cover","2","1494"
"alive","2","1493"
"beech","5","1492"
"jetty","1","1491"
"bliss","1","1490"
"vocal","2","1489"
"often","2","1488"
"dolly","1","1487"
"eight","3","1486"
"joker","1","1485"
"since","2","1484"
"event","2","1483"
"ensue","2","1482"
"shunt","1","1481"
"diver","2","1480"
"poser","1","1479"
"sweep","2","1478"
"alley","2","1477"
"creed","4","1476"
"anime","2","1475"
"leafy","3","1474"
"bosom","1","1473"
"dunce","3","1472"
"stare","2","1471"
"pudgy","2","1470"
"waive","2","1469"
"choir","2","1468"
"stood","1","1467"
"spoke","1","1466"
"outgo","1","1465"
"delay","3","1464"
"bilge","3","1463"
"ideal","3","1462"
"clasp","2","1461"
"seize","2","1460"
"hotly","1","1459"
"laugh","3","1458"
"sieve","2","1457"
"block","2","1456"
"meant","2","1455"
"grape","3","1454"
"noose","1","1453"
"hardy","3","1452"
"shied","3","1451"
"drawl","2","1450"
"daisy","2","1449"
"burnt","1","1448"
"crick","2","1447"
"idyll","1","1446"
"vixen","1","1445"
"furor","1","1444"
"geeky","3","1443"
"cough","3","1442"
"naive","2","1441"
"shoal","2","1440"
"bathe","4","1439"
"aunty","1","1438"
"check","4","1437"
"prime","1","1436"
"brass","2","1435"
"outer","1","1434"
"furry","1","1433"
"razor","1","1432"
"elect","3","1431"
"evict","2","1430"
"demur","2","1429"
"quota","1","1428"
"haven","3","1427"
"cavil","2","1426"
"swear","2","1425"
"crump","1","1424"
"dough","3","1423"
"gavel","3","1422"
"wagon","2","1421"
"salon","1","1420"
"nudge","3","1419"
"harem","3","1418"
"pitch","2","1417"
"excel","3","1416"
"cabin","3","1415"
"queen","2","1414"
"earth","3","1413"
"taper","2","1412"
"enter","2","1411"
"child","3","1410"
"adopt","2","1409"
"fatty","2","1408"
"husky","1","1407"
"brave","3","1406"
"filet","2","1405"
"slime","1","1404"
"glint","1","1403"
"tread","3","1402"
"steal","2","1401"
"regal","3","1400"
"guest","2","1399"
"every","2","1398"
"share","3","1397"
"spore","1","1396"
"hoist","1","1395"
"buxom","1","1394"
"inner","1","1393"
"otter","1","1392"
"dimly","1","1391"
"level","2","1390"
"sumac","2","1389"
"donut","1","1388"
"arena","3","1387"
"sheet","3","1386"
"scrub","2","1385"
"fancy","3","1384"
"pearl","2","1383"
"porch","2","1382"
"dingo","2","1381"
"sepia","2","1380"
"amble","3","1379"
"shady","3","1378"
"bread","4","1377"
"friar","2","1376"
"reign","2","1375"
"dairy","2","1374"
"cross","1","1373"
"brood","2","1372"
"tuber","2","1371"
"shear","3","1370"
"blank","2","1369"
"villa","1","1368"
"shank","2","1367"
"piggy","2","1366"
"freak","3","1365"
"which","3","1364"
"among","2","1363"
"fecal","4","1362"
"shell","2","1361"
"would","1","1360"
"algae","4","1359"
"large","3","1358"
"rabbi","3","1357"
"agony","2","1356"
"amuse","2","1355"
"bushy","2","1354"
"copse","2","1353"
"knife","2","1352"
"pouch","2","1351"
"ascot","2","1350"
"plane","2","1349"
"crown","1","1348"
"urban","2","1347"
"snide","2","1346"
"relay","2","1345"
"abide","4","1344"
"viola","1","1343"
"rajah","3","1342"
"straw","1","1341"
"dilly","1","1340"
"crash","3","1339"
"amass","2","1338"
"third","2","1337"
"trick","1","1336"
"woody","1","1335"
"blurb","2","1334"
"grief","3","1333"
"disco","2","1332"
"where","3","1331"
"sassy","1","1330"
"beach","5","1329"
"sauna","2","1328"
"comic","2","1327"
"clued","3","1326"
"creep","3","1325"
"caste","3","1324"
"graze","3","1323"
"snuff","2","1322"
"frock","2","1321"
"gonad","3","1320"
"drunk","1","1319"
"prong","1","1318"
"lurid","1","1317"
"steel","2","1316"
"halve","3","1315"
"buyer","2","1314"
"utile","1","1313"
"smell","1","1312"
"adage","5","1311"
"tasty","1","1310"
"local","2","1309"
"trade","3","1308"
"finch","3","1307"
"ashen","3","1306"
"modal","2","1305"
"gaunt","2","1304"
"clove","2","1303"
"enact","3","1302"
"adorn","2","1301"
"roast","1","1300"
"speck","2","1299"
"sheik","2","1298"
"grunt","1","1297"
"party","1","1296"
"touch","2","1295"
"mafia","3","1294"
"emcee","4","1293"
"array","2","1292"
"south","1","1291"
"vapid","2","1290"
"jelly","1","1289"
"angst","2","1288"
"tubal","2","1287"
"lower","1","1286"
"crest","2","1285"
"sweat","2","1284"
"cyber","3","1283"
"adore","3","1282"
"tardy","2","1281"
"swami","1","1280"
"notch","2","1279"
"groom","1","1278"
"roach","3","1277"
"hitch","3","1276"
"young","1","1275"
"align","2","1274"
"ready","3","1273"
"frond","2","1272"
"strap","1","1271"
"puree","2","1270"
"realm","2","1269"
"venue","2","1268"
"swarm","1","1267"
"offer","3","1266"
"seven","2","1265"
"dryer","2","1264"
"diary","2","1263"
"dryly","1","1262"
"drank","2","1261"
"acrid","3","1260"
"heady","4","1259"
"theta","3","1258"
"pixie","1","1257"
"quoth","1","1256"
"bonus","1","1255"
"shalt","2","1254"
"penne","2","1253"
"amend","3","1252"
"datum","2","1251"
"build","2","1250"
"piano","1","1249"
"shelf","3","1248"
"lodge","3","1247"
"suing","1","1246"
"rearm","2","1245"
"coral","2","1244"
"ramen","2","1243"
"worth","1","1242"
"psalm","1","1241"
"infer","2","1240"
"overt","1","1239"
"mayor","1","1238"
"ovoid","1","1237"
"glide","3","1236"
"usage","3","1235"
"poise","1","1234"
"randy","2","1233"
"chuck","3","1232"
"prank","1","1231"
"fishy","2","1230"
"tooth","1","1229"
"ether","3","1228"
"drove","2","1227"
"idler","2","1226"
"swath","2","1225"
"while","2","1224"
"begat","4","1223"
"apply","1","1222"
"slang","2","1221"
"tarot","1","1220"
"radar","3","1219"
"credo","3","1218"
"aware","3","1217"
"canon","2","1216"
"shift","2","1215"
"timer","1","1214"
"bylaw","2","1213"
"serum","1","1212"
"three","3","1211"
"steak","2","1210"
"iliac","2","1209"
"shirk","1","1208"
"blunt","1","1207"
"penal","2","1206"
"bunny","1","1205"
"shape","3","1204"
"beget","4","1203"
"wheel","3","1202"
"adept","3","1201"
"stole","1","1200"
"topaz","1","1199"
"chore","3","1198"
"fluke","2","1197"
"afoot","2","1196"
"bloat","2","1195"
"bully","1","1194"
"dense","3","1193"
"caper","3","1192"
"sneer","2","1191"
"boxer","2","1190"
"jumbo","1","1189"
"lunge","2","1188"
"space","3","1187"
"avail","2","1186"
"short","1","1185"
"loyal","1","1184"
"flirt","1","1183"
"pizza","1","1182"
"conch","3","1181"
"tempo","1","1180"
"droop","1","1179"
"plate","2","1178"
"bible","3","1177"
"afoul","2","1176"
"savoy","1","1175"
"steep","2","1174"
"agile","3","1173"
"stake","2","1172"
"dwell","2","1171"
"knave","2","1170"
"beard","4","1169"
"arose","2","1168"
"motif","1","1167"
"smash","2","1166"
"broil","1","1165"
"glare","3","1164"
"shove","2","1163"
"baggy","4","1162"
"mammy","1","1161"
"swamp","1","1160"
"along","2","1159"
"rugby","2","1158"
"wager","3","1157"
"quack","2","1156"
"squat","1","1155"
"snaky","1","1154"
"debit","3","1153"
"mange","3","1152"
"skate","2","1151"
"ninth","1","1150"
"tramp","1","1149"
"medal","3","1148"
"micro","1","1147"
"rebel","3","1146"
"flank","2","1145"
"learn","2","1144"
"nadir","2","1143"
"maple","2","1142"
"comfy","2","1141"
"remit","1","1140"
"gruff","3","1139"
"ester","2","1138"
"least","2","1137"
"mogul","1","1136"
"fetch","4","1135"
"cause","3","1134"
"oaken","2","1133"
"aglow","2","1132"
"meaty","2","1131"
"gaffe","5","1130"
"shyly","1","1129"
"racer","3","1128"
"thief","3","1127"
"stern","1","1126"
"poesy","1","1125"
"rocky","1","1124"
"tweet","2","1123"
"waist","1","1122"
"spire","1","1121"
"grope","2","1120"
"havoc","3","1119"
"patsy","1","1118"
"forty","1","1117"
"deity","2","1116"
"uncle","2","1115"
"swish","1","1114"
"giver","2","1113"
"preen","2","1112"
"bevel","3","1111"
"lemur","1","1110"
"draft","3","1109"
"slope","1","1108"
"annoy","1","1107"
"lingo","1","1106"
"bleak","3","1105"
"ditty","1","1104"
"curly","1","1103"
"cedar","4","1102"
"dirge","3","1101"
"grown","1","1100"
"horde","3","1099"
"drool","1","1098"
"shuck","2","1097"
"crypt","1","1096"
"cumin","1","1095"
"stock","1","1094"
"gravy","2","1093"
"locus","1","1092"
"wider","2","1091"
"breed","4","1090"
"quite","1","1089"
"chafe","5","1088"
"cache","5","1087"
"blimp","1","1086"
"deign","3","1085"
"fiend","3","1084"
"logic","2","1083"
"cheap","4","1082"
"elide","3","1081"
"rigid","2","1080"
"false","3","1079"
"renal","2","1078"
"pence","3","1077"
"rowdy","1","1076"
"shoot","1","1075"
"blaze","3","1074"
"envoy","1","1073"
"posse","1","1072"
"brief","3","1071"
"never","2","1070"
"abort","2","1069"
"mouse","1","1068"
"mucky","1","1067"
"fiery","2","1066"
"media","3","1065"
"yeast","2","1064"
"clear","3","1063"
"scalp","2","1062"
"bitty","1","1061"
"cider","3","1060"
"koala","2","1059"
"duvet","2","1058"
"segue","3","1057"
"creme","3","1056"
"super","1","1055"
"grill","1","1054"
"after","3","1053"
"owner","1","1052"
"ember","3","1051"
"reach","4","1050"
"nobly","1","1049"
"empty","1","1048"
"speed","3","1047"
"gipsy","1","1046"
"recur","2","1045"
"smock","1","1044"
"dread","4","1043"
"merge","3","1042"
"burst","1","1041"
"kappa","2","1040"
"amity","1","1039"
"shaky","2","1038"
"hover","2","1037"
"carol","2","1036"
"synod","1","1035"
"faint","2","1034"
"haunt","2","1033"
"flour","1","1032"
"chair","3","1031"
"detox","2","1030"
"shrew","2","1029"
"tense","2","1028"
"plied","2","1027"
"quark","1","1026"
"burly","1","1025"
"novel","1","1024"
"waxen","2","1023"
"stoic","1","1022"
"jerky","1","1021"
"blitz","1","1020"
"beefy","4","1019"
"lyric","1","1018"
"hussy","1","1017"
"towel","1","1016"
"below","2","1015"
"bingo","2","1014"
"brash","3","1013"
"scone","2","1012"
"toast","1","1011"
"easel","3","1010"
"saucy","2","1009"
"value","2","1008"
"spice","2","1007"
"honor","1","1006"
"route","1","1005"
"sharp","2","1004"
"bawdy","3","1003"
"radii","2","1002"
"phony","1","1001"
"issue","1","1000"
"lager","3","999"
"swell","1","998"
"urine","1","997"
"gassy","2","996"
"trial","1","995"
"flora","2","994"
"upper","1","993"
"latch","3","992"
"wight","2","991"
"brick","2","990"
"retry","1","989"
"holly","1","988"
"decal","4","987"
"grass","2","986"
"shack","3","985"
"dogma","3","984"
"mover","1","983"
"defer","4","982"
"sober","2","981"
"optic","1","980"
"crier","2","979"
"vying","1","978"
"nomad","2","977"
"flute","2","976"
"hippo","1","975"
"shark","2","974"
"drier","2","973"
"obese","3","972"
"bugle","3","971"
"tawny","1","970"
"chalk","3","969"
"feast","3","968"
"ruddy","2","967"
"pedal","3","966"
"scarf","3","965"
"cruel","2","964"
"bleat","3","963"
"tidal","2","962"
"slush","1","961"
"semen","2","960"
"windy","1","959"
"dusty","1","958"
"sally","1","957"
"igloo","1","956"
"nerdy","2","955"
"jewel","2","954"
"shone","2","953"
"whale","3","952"
"hymen","2","951"
