"rank","word","count","wordle_valid"
"108","issue","128427156","True"
"109","range","128314924","True"
"110","court","127719981","True"
"111","audio","127014703","True"
"112","light","126699632","True"
"113","write","126645151","True"
"114","offer","126228968","True"
"115","given","125542966","True"
"116","files","125524478","True"
"117","event","125515260","True"
"118","china","124472054","True"
"119","needs","123595776","True"
"120","might","123196001","True"
"121","month","123027963","True"
"122","major","122592252","True"
"123","areas","121986327","True"
"124","space","121505269","True"
"125","cards","121094522","True"
"126","child","119747393","True"
"127","enter","119394206","True"
"128","share","119294241","True"
"129","added","118410414","True"
"130","radio","113285624","True"
"131","color","112965658","True"
"132","track","112385243","True"
"133","least","111229798","True"
"134","trade","110086585","True"
"135","david","109067044","False"
"136","green","108287905","True"
"137","close","107853068","True"
"138","drive","107799371","True"
"139","short","106755242","True"
"140","means","105946662","True"
"141","daily","105837757","True"
"142","beach","105642682","True"
"143","costs","101090970","True"
"144","style","101024266","True"
"145","front","100886343","True"
"146","parts","100637505","True"
"147","early","100013194","True"
"148","miles","100012522","True"
"149","sound","100010833","True"
"150","rules","97658641","True"
"151","final","97649084","True"
"152","adult","97583096","True"
"153","thing","97451660","True"
"154","cheap","97049762","True"
"155","third","95489240","True"
"156","gifts","95412416","True"
"157","cover","94501729","True"
"158","often","92551460","True"
"159","watch","92006970","True"
"160","deals","91189968","True"
"161","words","90910143","True"
"162","james","90535679","True"
"163","heart","90249265","True"
"164","error","89396475","True"
"165","clear","88447610","True"
"166","makes","87829598","True"
"167","india","87391857","True"
"168","taken","87019836","True"
"169","cases","86255673","True"
"170","quick","85584600","True"
"171","whole","85202530","True"
"172","later","84857974","True"
"173","basic","84840226","True"
"174","shows","84804638","True"
"175","along","83444756","True"
"176","among","83431590","True"
"177","death","83216831","True"
"178","speed","83135749","True"
"179","brand","82807581","True"
"180","stuff","81444510","True"
"181","japan","81110725","True"
"182","doing","80821946","True"
"183","loans","80821333","True"
"184","shoes","80755612","True"
"185","entry","80717798","True"
"186","notes","79958318","True"
"187","force","79199815","True"
"188","river","78843808","True"
"189","album","77914316","True"
"190","views","77333335","True"
"191","plans","77295630","True"
"192","build","77203075","True"
"193","types","77070740","True"
"194","lines","76806341","True"
"195","apply","76341478","True"
"196","asked","75532722","True"
"197","cross","74230978","True"
"198","weeks","73571749","True"
"199","lower","72606927","True"
"200","names","71918906","True"
"201","leave","70957750","True"
"202","teens","70859771","True"
"203","woman","70613606","True"
"204","cable","70082598","True"
"205","score","69315004","True"
"206","shown","68755779","True"
"207","flash","68391647","True"
"208","ideas","67309657","True"
"209","allow","67052567","True"
"210","homes","66753480","True"
"211","super","66703287","True"
"212","asian","66078353","False"
"213","cause","65904680","True"
"214","focus","65626732","True"
"215","voice","64600528","True"
"216","comes","64256803","True"
"217","brown","64112042","True"
"218","forms","63561604","True"
"219","glass","63559754","True"
"220","happy","63471922","True"
"221","smith","63357901","True"
"222","thank","63234550","True"
"223","ready","62667516","True"
"224","round","61836702","True"
"225","built","61502894","True"
"226","blood","61348302","True"
"227","earth","61059905","True"
"228","italy","60280461","False"
"229","basis","59901425","True"
"230","award","59652161","True"
"231","peter","59541743","True"
"232","extra","59377307","True"
"233","rated","59102029","True"
"234","quite","58777731","True"
"235","horse","58453720","True"
"236","stars","58352743","True"
"237","owner","58189056","True"
"238","takes","57784233","True"
"239","bring","57608074","True"
"240","agent","57103658","True"
"241","valid","57094711","True"
"242","grand","56599468","True"
"243","trial","56547673","True"
"244","wrote","56421594","True"
"245","ships","56365355","True"
"246","metal","56181783","True"
"247","funds","55721876","True"
"248","guest","55293215","True"
"249","seems","55276661","True"
"250","grade","54275130","True"
"251","panel","53784382","True"
"252","floor","53759851","True"
"253","match","53532481","True"
"254","plant","53247607","True"
"255","sense","52629633","True"
"256","stage","52518330","True"
"257","goods","52507183","True"
"258","maybe","51895609","True"
"259","spain","51553238","True"
"260","youth","51426255","True"
"261","break","51242970","True"
"262","dance","51147967","True"
"263","apple","50551171","True"
"264","enjoy","50141455","True"
"265","block","49694725","True"
"266","civil","49495349","True"
"267","steel","49452604","True"
"268","songs","49272598","True"
"269","fixed","49215402","True"
"270","wrong","49156828","True"
"271","hands","49087727","True"
"272","paris","48831449","True"
"273","fully","48616832","True"
"274","worth","48075237","True"
"275","peace","47856201","True"
"276","coast","47716394","True"
"277","grant","47609624","True"
"278","agree","47500911","True"
"279","scale","46307526","True"
"280","stand","46292709","True"
"281","frame","46079991","True"
"282","chief","45699591","True"
"283","gives","45649146","True"
"284","heard","45436523","True"
"285","begin","45434902","True"
"286","royal","45407189","True"
"287","clean","45381752","True"
"288","bible","45080741","True"
"289","suite","44829675","True"
"290","vegas","44810653","True"
"291","chris","44754518","False"
"292","piece","44298807","True"
"293","sheet","44295187","True"
"294","seven","44224906","True"
"295","older","44222089","True"
"296","cells","44128080","True"
"297","calls","43661633","True"
"298","whose","43634263","True"
"299","naked","43110969","True"
"300","lives","42750046","True"
"301","stone","42494931","True"
"302","tests","42336117","True"
"303","buyer","42024703","True"
"304","steve","41997245","False"
"305","label","41359857","True"
"306","scott","41326573","False"
"307","canon","41144763","True"
"308","waste","41089558","True"
"309","chair","40764005","True"
"310","phase","40722940","True"
"311","shirt","40501964","True"
"312","crime","40361756","True"
"313","count","40345803","True"
"314","claim","40085342","True"
"315","patch","39999745","True"
"316","santa","39664896","False"
"317","alone","39326417","True"
"318","jones","39297134","True"
"319","saint","38929141","True"
"320","drugs","38827156","True"
"321","fresh","38781893","True"
"322","dates","38442243","True"
"323","upper","38341510","True"
"324","prime","38308402","True"
"325","began","38269468","True"
"326","steps","38254292","True"
"327","shops","38241315","True"
"328","creek","38159464","True"
"329","urban","38087999","True"
"330","labor","37866418","True"
"331","admin","37835381","True"
"332","heavy","37668153","True"
"333","solid","37426444","True"
"334","theme","37219937","True"
"335","touch","36831035","True"
"336","goals","36766773","True"
"337","serve","36697856","True"
"338","magic","36676771","True"
"339","smart","36636558","True"
"340","latin","36548259","False"
"341","avoid","36508203","True"
"342","birth","36286070","True"
"343","abuse","36269685","True"
"344","facts","36041603","True"
"345","faith","35936559","True"
"346","chain","35928367","True"
"347","moved","35713495","True"
"348","reach","35687918","True"
"349","gamma","35426622","True"
"350","truth","35345925","True"
"351","films","35200065","True"
"352","owned","35050234","True"
"353","draft","35033621","True"
"354","chart","35027490","True"
"355","jesus","34929061","True"
"356","clubs","34881779","True"
"357","equal","34832354","True"
"358","codes","34503537","True"
"359","kinds","34482138","True"
"360","teams","34383288","True"
"361","funny","34281806","True"
"362","tried","34201786","True"
"363","named","34099544","True"
"364","laser","34080740","True"
"365","harry","33867934","True"
"366","taxes","33674672","True"
"367","mouse","33667003","True"
"368","brain","33612784","True"
"369","dream","33518573","True"
"370","false","33476460","True"
"371","falls","33213513","True"
"372","stats","33096627","True"
"373","carry","33056477","True"
"374","hello","32960381","True"
"375","clips","32846497","True"
"376","brief","32599674","True"
"377","ended","32588866","True"
"378","eight","32567724","True"
"379","wants","32538214","True"
"380","alert","32472727","True"
"381","queen","32366847","True"
"382","sweet","32311923","True"
"383","diego","32238555","False"
"384","truck","32136249","True"
"385","votes","32059663","True"
"386","ocean","31928741","True"
"387","signs","31899467","True"
"388","depth","31879926","True"
"389","train","31816971","True"
"390","feeds","31593736","True"
"391","route","31439231","True"
"392","frank","31392284","True"
"393","anime","31334688","True"
"394","speak","31324712","True"
"395","query","31284313","True"
"396","rural","30998929","True"
"397","judge","30905832","True"
"398","bytes","30848384","True"
"399","fight","30784313","True"
"400","filed","30718907","True"
"401","korea","30582894","False"
"402","banks","30582183","True"
"403","kelly","30510238","True"
"404","leads","30507300","True"
"405","brian","30060564","False"
"406","miami","29904805","False"
"407","wales","29821525","True"
"408","noted","29754565","True"
"409","spent","29719451","True"
"410","davis","29689352","False"
"411","helps","29607993","True"
"412","cycle","29585286","True"
"413","sleep","29491537","True"
"414","scene","29372413","True"
"415","drink","29254937","True"
"416","intel","28995654","True"
"417","rings","28827859","True"
"418","henry","28769085","True"
"419","guess","28743465","True"
"420","ahead","28375319","True"
"421","devel","28152649","True"
"422","delta","28051872","True"
"423","cisco","27894293","True"
"424","alpha","27832836","True"
"425","bonus","27819488","True"
"426","adobe","27538755","True"
"427","trees","27378116","True"
"428","dress","27318959","True"
"429","refer","27099706","True"
"430","babes","27016030","True"
"431","layer","26912270","True"
"432","spend","26713310","True"
"433","clock","26624872","True"
"434","ratio","26457942","True"
"435","proof","26305059","True"
"436","empty","26206017","True"
"437","maine","26049821","False"
"438","ideal","26036289","True"
"439","specs","26029159","True"
"440","parks","25974927","True"
"441","cream","25898758","True"
"442","boxes","25787744","True"
"443","hills","25770218","True"
"444","aware","25700328","True"
"445","shape","25675227","True"
"446","irish","25658075","False"
"447","firms","25497302","True"
"448","usage","25440406","True"
"449","mixed","25395056","True"
"450","exist","25349128","True"
"451","wheel","25342937","True"
"452","angel","25294123","True"
"453","width","25182453","True"
"454","noise","25171520","True"
"455","array","25150016","True"
"456","greek","25059132","True"
"457","sharp","24904199","True"
"458","occur","24679212","True"
"459","coach","24514961","True"
"460","kevin","24511652","False"
"461","plate","24275560","True"
"462","logic","23989892","True"
"463","sizes","23751367","True"
"464","plain","23747230","True"
"465","costa","23702154","True"
"466","trail","23648838","True"
"467","buddy","23611087","True"
"468","setup","23534848","True"
"469","blues","23387172","True"
"470","scope","23349420","True"
"471","crazy","23032837","True"
"472","bears","22926868","True"
"473","mouth","22880351","True"
"474","meter","22874915","True"
"475","fruit","22767191","True"
"476","lewis","22640158","True"
"477","sugar","22450333","True"
"478","stick","22399126","True"
"479","allen","22368068","False"
"480","genre","22344091","True"
"481","slide","22339084","True"
"482","exact","22304937","True"
"483","bound","22303643","True"
"484","micro","22219932","True"
"485","dolls","22065047","True"
"486","paint","21926890","True"
"487","delay","21911190","True"
"488","czech","21849930","False"
"489","novel","21821189","True"
"490","ultra","21795075","True"
"491","idaho","21791957","False"
"492","plays","21753930","True"
"493","lodge","21541130","True"
"494","boobs","21461250","True"
"495","broad","21370126","True"
"496","sarah","21321998","False"
"497","clark","21305891","False"
"498","foods","21150689","True"
"499","guard","21137924","True"
"500","newly","21102330","True"
"501","raise","21099943","True"
"502","drama","20939845","True"
"503","bands","20842378","True"
"504","lunch","20807419","True"
"505","dildo","20789655","True"
"506","audit","20786243","True"
"507","tower","20686918","True"
"508","jason","20616747","False"
"509","shell","20599318","True"
"510","solar","20423792","True"
"511","catch","20400979","True"
"512","doubt","20311261","True"
"513","tasks","20273373","True"
"514","const","20236664","False"
"515","doors","20229491","True"
"516","forth","20149609","True"
"517","bruce","19999866","False"
"518","twice","19945569","True"
"519","egypt","19926686","False"
"520","shift","19811555","True"
"521","marks","19747824","True"
"522","loved","19719299","True"
"523","birds","19693729","True"
"524","saved","19635976","True"
"525","shots","19611119","True"
"526","moore","19585613","False"
"527","treat","19442315","True"
"528","piano","19419956","True"
"529","teach","19079783","True"
"530","rapid","19070672","True"
"531","hairy","19060619","True"
"532","dutch","19000979","True"
"533","boots","18968708","True"
"534","holds","18963546","True"
"535","pulse","18893735","True"
"536","metro","18738665","True"
"537","pearl","18707334","True"
"538","penis","18478169","True"
"539","heads","18400524","True"
"540","logos","18366230","True"
"541","honda","18261029","True"
"542","bills","18248816","True"
"543","opera","18225169","True"
"544","asset","18178753","True"
"545","blank","18150537","True"
"546","humor","18085495","True"
"547","lived","18050710","True"
"548","tight","17981854","True"
"549","meant","17832930","True"
"550","plane","17799728","True"
"551","meets","17760399","True"
"552","tampa","17654589","False"
"553","grace","17642126","True"
"554","susan","17638870","False"
"555","adams","17620255","False"
"556","villa","17587586","True"
"557","inner","17552078","True"
"558","roman","17431193","True"
"559","taste","17311343","True"
"560","sides","17269191","True"
"561","cache","17250923","True"
"562","lease","17180592","True"
"563","proud","17167504","True"
"564","giant","17098874","True"
"565","seats","17070818","True"
"566","alarm","17059844","True"
"567","usual","17044981","True"
"568","angle","17016075","True"
"569","honor","16787246","True"
"570","eagle","16785232","True"
"571","pants","16774383","True"
"572","nurse","16772151","True"
"573","quiet","16746894","True"
"574","comic","16695850","True"
"575","crown","16651038","True"
"576","maker","16635947","True"
"577","crack","16633701","True"
"578","picks","16627992","True"
"579","smoke","16567733","True"
"580","craft","16528294","True"
"581","apart","16507181","True"
"582","blind","16485480","True"
"583","coins","16449733","True"
"584","gross","16440590","True"
"585","actor","16282891","True"
"586","finds","16280898","True"
"587","fifth","16255266","True"
"588","prize","16204739","True"
"589","dirty","16101662","True"
"590","wayne","16090093","False"
"591","alive","16064787","True"
"592","prove","16046788","True"
"593","wings","16044458","True"
"594","ridge","15993437","True"
"595","modem","15984492","True"
"596","larry","15900632","False"
"597","moves","15789001","True"
"598","throw","15751985","True"
"599","trend","15747018","True"
"600","busty","15705827","True"
"601","worse","15677739","True"
"602","boats","15600762","True"
"603","tells","15534490","True"
"604","fiber","15530318","True"
"605","graph","15526746","True"
"606","talks","15484166","True"
"607","bonds","15431252","True"
"608","fraud","15378751","True"
"609","roger","15353411","True"
"610","crash","15302627","True"
"611","inter","15269346","True"
"612","grove","15189493","True"
"613","spray","15148133","True"
"614","roads","15093621","True"
"615","faces","15050854","True"
"616","cocks","15043799","True"
"617","mayor","15030847","True"
"618","yield","15022494","True"
"619","hence","14992334","True"
"620","radar","14982375","True"
"621","lakes","14947463","True"
"622","diary","14922472","True"
"623","kings","14914273","True"
"624","flags","14870655","True"
"625","baker","14862470","True"
"626","shock","14850388","True"
"627","walls","14837851","True"
"628","ebony","14831025","True"
"629","drawn","14827380","True"
"630","beast","14787561","True"
"631","dodge","14768509","True"
"632","pizza","14763787","True"
"633","yards","14733347","True"
"634","woods","14647735","True"
"635","jokes","14622894","True"
"636","globe","14554904","True"
"637","kerry","14514771","True"
"638","ghost","14490042","True"
"639","pride","14428078","True"
"640","keith","14391094","False"
"641","linda","14380554","False"
"642","chile","14372798","True"
"643","maria","14347893","True"
"644","brass","14298573","True"
"645","plaza","14274314","True"
"646","quest","14258533","True"
"647","trans","14243681","True"
"648","booty","14218854","True"
"649","acres","14208905","True"
"650","venue","14204074","True"
"651","vital","14166642","True"
"652","excel","14133468","True"
"653","modes","14131325","True"
"654","enemy","14084182","True"
"655","wells","14073676","True"
"656","opens","14070477","True"
"657","lucky","14053901","True"
"658","thick","14030556","True"
"659","iraqi","13999381","False"
"660","vista","13991160","True"
"661","chips","13982676","True"
"662","terry","13981773","True"
"663","flood","13979267","True"
"664","arena","13966572","True"
"665","grown","13931521","True"
"666","jerry","13908229","True"
"667","smile","13893537","True"
"668","lands","13891179","True"
"669","armed","13866785","True"
"670","laura","13801282","True"
"671","candy","13772033","True"
"672","tiger","13763074","True"
"673","folks","13760930","True"
"674","balls","13683840","True"
"675","boost","13675076","True"
"676","icons","13649671","True"
"677","moral","13643598","True"
"678","keeps","13624468","True"
"679","pound","13620117","True"
"680","roses","13584758","True"
"681","bread","13575360","True"
"682","tough","13560922","True"
"683","gonna","13542156","True"
"684","chest","13516414","True"
"685","billy","13515249","True"
"686","craig","13480763","True"
"687","solve","13452150","True"
"688","nancy","13381057","True"
"689","tones","13373535","True"
"690","sight","13360499","True"
"691","reads","13174104","True"
"692","roles","13171507","True"
"693","glory","13158826","True"
"694","saudi","13123149","False"
"695","fault","13112664","True"
"696","karen","13067717","False"
"697","rugby","12992179","True"
"698","fluid","12943336","True"
"699","barry","12921548","True"
"700","devil","12869511","True"
"701","grass","12868953","True"
"702","marie","12862466","False"
"703","kenya","12839981","False"
"704","sized","12775596","True"
"705","manga","12774174","True"
"706","theft","12744763","True"
"707","swing","12734467","True"
"708","dated","12707511","True"
"709","shoot","12695618","True"
"710","elite","12673836","True"
"711","poems","12662561","True"
"712","robot","12656312","True"
"713","winds","12628386","True"
"714","gnome","12609820","True"
"715","noble","12604679","True"
"716","shore","12568485","True"
"717","loves","12566621","True"
"718","loose","12556710","True"
"719","rocks","12427428","True"
"720","genes","12396954","True"
"721","horny","12363955","True"
"722","hosts","12228736","True"
"723","atlas","12221120","True"
"724","feels","12212683","True"
"725","ralph","12190683","True"
"726","corps","12150135","True"
"727","liver","12139363","True"
"728","decor","12098868","True"
"729","texts","12095723","True"
"730","evans","12020970","False"
"731","fails","12015364","True"
"732","aging","12014007","True"
"733","alice","11994061","False"
"734","clerk","11923960","True"
"735","jeans","11896655","True"
"736","fonts","11884559","True"
"737","favor","11867822","True"
"738","sigma","11864409","True"
"739","aside","11768649","True"
"740","essay","11750312","True"
"741","camps","11712039","True"
"742","aaron","11698784","False"
"743","trace","11697252","True"
"744","packs","11683277","True"
"745","spoke","11577917","True"
"746","arrow","11563142","True"
"747","rough","11557184","True"
"748","weird","11556427","True"
"749","holes","11529280","True"
"750","blade","11527988","True"
"751","meals","11515834","True"
"752","robin","11423944","True"
"753","strap","11414669","True"
"754","crowd","11409218","True"
"755","cloud","11337220","True"
"756","valve","11325360","True"
"757","knife","11297715","True"
"758","shelf","11287023","True"
"759","liked","11282738","True"
"760","adopt","11272339","True"
"761","outer","11245167","True"
"762","tales","11222332","True"
"763","islam","11214742","False"
"764","nodes","11208722","True"
"765","seeds","11196921","True"
"766","cited","11195944","True"
"767","tired","11158233","True"
"768","steam","11141309","True"
"769","acute","11128841","True"
"770","stood","11116275","True"
"771","carol","11109404","True"
"772","stack","11090579","True"
"773","curve","11071177","True"
"774","amber","11065507","True"
"775","waves","11006010","True"
"776","camel","11005001","True"
"777","lamps","11000656","True"
"778","juice","10973425","True"
"779","chase","10971945","True"
"780","sauce","10968629","True"
"781","beads","10825324","True"
"782","flows","10797166","True"
"783","fewer","10792786","True"
"784","voted","10746027","True"
"785","bikes","10740880","True"
"786","gates","10734618","True"
"787","slave","10692715","False"
"788","combo","10592758","True"
"789","haven","10569212","True"
"790","charm","10554644","True"
"791","basin","10544774","True"
"792","ranch","10539650","True"
"793","drunk","10519219","True"
"794","toner","10508427","True"
"795","latex","10502825","True"
"796","delhi","10491603","False"
"797","alien","10490554","True"
"798","broke","10460811","True"
"799","nepal","10459583","False"
"800","discs","10404995","True"
"801","rocky","10404321","True"
"802","fleet","10364423","True"
"803","bunch","10355431","True"
"804","cents","10301064","True"
"805","omega","10289113","True"
"806","civic","10283668","True"
"807","saver","10258158","True"
"808","grill","10254124","True"
"809","grain","10244623","True"
"810","wanna","10232302","True"
"811","seeks","10174194","True"
"812","gains","10137566","True"
"813","salon","10079006","True"
"814","turbo","10058686","True"
"815","thats","10034213","False"
"816","aimed","10030370","True"
"817","reset","10021033","True"
"818","brush","10018684","True"
"819","spare","10009522","True"
"820","kodak","10005470","False"
"821","honey","9978043","True"
"822","gauge","9952466","True"
"823","faced","9938155","True"
"824","sixth","9920054","True"
"825","farms","9908537","True"
"826","cheat","9903572","True"
"827","sandy","9897487","True"
"828","macro","9885853","True"
"829","laugh","9822471","True"
"830","pitch","9800556","True"
"831","autos","9798008","True"
"832","perry","9785838","True"
"833","dozen","9776227","True"
"834","teeth","9769437","True"
"835","cloth","9764137","True"
"836","stamp","9760468","True"
"837","cargo","9748668","True"
"838","salem","9735569","False"
"839","likes","9727733","True"
"840","tapes","9719559","True"
"841","zones","9719114","True"
"842","races","9715279","True"
"843","maple","9704551","True"
"844","depot","9688338","True"
"845","blend","9680982","True"
"846","julie","9674906","False"
"847","janet","9666108","False"
"848","probe","9643801","True"
"849","helen","9600641","False"
"850","debug","9581095","True"
"851","chuck","9574825","True"
"852","bingo","9539002","True"
"853","minds","9529696","True"
"854","leeds","9491065","False"
"855","cedar","9484993","True"
"856","blair","9463587","False"
"857","hopes","9462715","True"
"858","mason","9461838","True"
"859","burns","9460104","True"
"860","mario","9447559","False"
"861","pairs","9432115","True"
"862","chose","9409845","True"
"863","blast","9387171","True"
"864","brake","9321885","True"
"865","congo","9310976","True"
"866","olive","9298184","True"
"867","cyber","9289150","True"
"868","clone","9284578","True"
"869","dicks","9280692","True"
"870","relay","9275052","True"
"871","tears","9274206","True"
"872","oasis","9270498","True"
"873","angry","9267505","True"
"874","lover","9234545","True"
"875","malta","9212218","False"
"876","daddy","9211193","True"
"877","ferry","9208954","True"
"878","omaha","9193841","False"
"879","loads","9175948","True"
"880","motel","9170238","True"
"881","rally","9155530","True"
"882","dying","9123557","True"
"883","stuck","9120620","True"
"884","vocal","9082826","True"
"885","organ","9077449","True"
"886","lemon","9066930","True"
"887","toxic","9065369","True"
"888","bench","8992211","True"
"889","rider","8987802","True"
"890","butts","8968856","True"
"891","bobby","8964342","True"
"892","sheep","8962638","True"
"893","wines","8939582","True"
"894","salad","8923706","True"
"895","paste","8913055","True"
"896","katie","8878399","False"
"897","relax","8856944","True"
"898","sword","8835685","True"
"899","sells","8827377","True"
"900","coral","8818272","True"
"901","pixel","8813200","True"
"902","float","8808655","True"
"903","colin","8807299","True"
"904","paths","8806073","True"
"905","acids","8793940","True"
"906","dairy","8781961","True"
"907","admit","8780656","True"
"908","fancy","8777135","True"
"909","samoa","8775146","False"
"910","squad","8744772","True"
"911","wages","8737438","True"
"912","males","8708016","True"
"913","chaos","8690268","True"
"914","wheat","8685589","True"
"915","bases","8663363","True"
"916","bride","8650665","True"
"917","begun","8636352","True"
"918","socks","8632058","True"
"919","essex","8617835","False"
"920","fever","8582665","True"
"921","drums","8560748","True"
"922","rover","8537021","True"
"923","flame","8527495","True"
"924","tanks","8526525","True"
"925","spell","8506049","True"
"926","emily","8497262","False"
"927","annex","8465905","True"
"928","sudan","8447525","False"
"929","hints","8393784","True"
"930","wired","8371548","True"
"931","elvis","8369987","False"
"932","argue","8353605","True"
"933","arise","8337093","True"
"934","jamie","8330541","False"
"935","bitch","8302447","False"
"936","chess","8293823","True"
"937","oscar","8285553","True"
"938","menus","8283476","True"
"939","canal","8278196","True"
"940","amino","8273641","True"
"941","herbs","8271850","True"
"942","lying","8260845","True"
"943","drill","8248787","True"
"944","bryan","8247764","False"
"945","hobby","8237250","True"
"946","tries","8236889","True"
"947","trick","8208473","True"
"948","drops","8187657","True"
"949","wider","8186703","True"
"950","screw","8177263","True"
"951","blame","8170544","True"
"952","fifty","8133138","True"
"953","uncle","8127694","True"
"954","jacob","8114034","False"
"955","randy","8110369","True"
"956","brick","8094369","True"
"957","naval","8091649","True"
"958","donna","8058734","True"
"959","cabin","8052267","True"
"960","eddie","8038567","False"
"961","fired","8031937","True"
"962","syria","8013914","False"
"963","tires","8007166","True"
"964","retro","8000179","True"
"965","anger","7991036","True"
"966","glenn","7963817","False"
"967","handy","7936655","True"
"968","crops","7931319","True"
"969","guild","7923630","True"
"970","tribe","7890695","True"
"971","batch","7835050","True"
"972","alter","7831337","True"
"973","ghana","7826979","False"
"974","edges","7826115","True"
"975","amend","7806844","True"
"976","chick","7771502","True"
"977","thong","7747699","True"
"978","medal","7747036","True"
"979","walks","7744070","True"
"980","sucks","7743126","True"
"981","booth","7723310","True"
"982","bones","7717501","True"
"983","breed","7716901","True"
"984","polar","7715471","True"
"985","carey","7679924","False"
"986","danny","7664864","True"
"987","patio","7627536","True"
"988","lloyd","7624316","False"
"989","beans","7607524","True"
"990","snake","7606395","True"
"991","julia","7556335","False"
"992","berry","7551906","True"
"993","ought","7523238","True"
"994","fixes","7513516","True"
"995","sends","7512707","True"
"996","mazda","7509120","False"
"997","timer","7488669","True"
"998","tyler","7474964","True"
"999","verse","7469512","True"
"1000","highs","7468394","True"
"1001","ellen","7450956","False"
"1002","racks","7436380","True"
"1003","nasty","7434847","True"
"1004","watts","7423674","True"
"1005","forty","7415064","True"
"1006","tubes","7413309","True"
"1007","floyd","7401451","False"
"1008","queue","7398569","True"
"1009","exams","7364984","True"
"1010","welsh","7346867","True"
"1011","belly","7346354","True"
"1012","haiti","7332685","False"
"1013","elder","7299470","True"
"1014","sonic","7298920","True"
"1015","thumb","7284386","True"
"1016","ranks","7222499","True"
"1017","debut","7220643","True"
"1018","penny","7162062","True"
"1019","remix","7132676","True"
"1020","alias","7132147","True"
"1021","newer","7122879","True"
"1022","spice","7120274","True"
"1023","ascii","7108409","False"
"1024","donor","7096675","True"
"1025","trash","7092806","True"
"1026","manor","7084688","True"
"1027","diane","7081367","True"
"1028","disco","7067687","True"
"1029","milan","6999311","False"
"1030","shade","6996835","True"
"1031","digit","6991045","True"
"1032","lyric","6970278","True"
"1033","grave","6929008","True"
"1034","devon","6896016","True"
"1035","saves","6892635","True"
"1036","lobby","6887477","True"
"1037","punch","6872844","True"
"1038","gotta","6870320","True"
"1039","karma","6862407","True"
"1040","betty","6858121","True"
"1041","mardi","6842238","False"
"1042","shake","6839319","True"
"1043","holly","6834032","True"
"1044","mercy","6831149","True"
"1045","fence","6796605","True"
"1046","diana","6795021","False"
"1047","shame","6785296","True"
"1048","fatal","6779744","True"
"1049","flesh","6768724","True"
"1050","jesse","6744751","True"
"1051","qatar","6695603","False"
"1052","sheer","6684477","True"
"1053","witch","6671560","True"
"1054","cohen","6665722","True"
"1055","kathy","6661457","False"
"1056","smell","6642666","True"
"1057","satin","6620674","True"
"1058","tunes","6610108","True"
"1059","lucia","6571033","False"
"1060","nerve","6567418","True"
"1061","renew","6561081","True"
"1062","locks","6536771","True"
"1063","euros","6533754","True"
